ischool;493
University of illinois Armory;526
School of Art+Design;590
Huff Hall;584
English Building;718
Lincoln Hall;456
Davenport Hall;151
Foreign Languages Building;162
Undergraduate Library;522
University of illinois Extension/Mumford Hall;710
Funk Agricultural Constitute/Funk ACES;631
Freer Hall;52
School of Social Work;37
Dance Studio;39
Institute of Government and public Affairs;36
Allen Hall and Unit One;50
Mckinley Health Center;26
UI Ice Arena;525
Carl R. Woese Institute for Genomic Biology;195
Spurlock Museum;65
